Gene,ColonCancer,BreastCancer,PGX
BRCA1,,BreastHighRisk,CPG
BRCA2,,BreastHighRisk,CPG
CDH1,ColonLowRisk,BreastHighRisk,CPG
PTEN,ColonLowRisk,BreastHighRisk,CPG
STK11,ColonMedRisk,BreastHighRisk,CPG
TP53,ColonMedRisk,BreastHighRisk,CPG
ABHD8,,BreastLowRisk,CPG
ABRAXAS1,,BreastLowRisk,CPG
AC004066.3,,BreastLowRisk,CPG
ADCY3,,BreastLowRisk,CPG
ADCY9,,BreastLowRisk,CPG
AFF4,,BreastLowRisk,CPG
AKAP9,,BreastLowRisk,CPG
AKT1,ColonLowRisk,BreastLowRisk,CPG
ALS2CR12,,BreastLowRisk,CPG
ANKLE1,,BreastLowRisk,CPG
AP5B1,,BreastLowRisk,CPG
ARHGEF38,,BreastLowRisk,CPG
ARRDC3,,BreastLowRisk,CPG
ATAD2,,BreastLowRisk,CPG
ATF7IP,,BreastLowRisk,CPG
ATP13A1,,BreastLowRisk,CPG
ATXN7,,BreastLowRisk,CPG
BARD1,,BreastLowRisk,CPG
BARX2,,BreastLowRisk,CPG
BLM,,BreastLowRisk,CPG
BMI1,,BreastLowRisk,CPG
C11orf65,,BreastLowRisk,CPG
C6orf211,,BreastLowRisk,CPG
CACNA1A,,BreastLowRisk,CPG
CASP8,,BreastLowRisk,CPG
CASR,ColonLowRisk,BreastLowRisk,CPG
CASZ1,,BreastLowRisk,CPG
CBX6,,BreastLowRisk,CPG
CCDC12,,BreastLowRisk,CPG
CCDC170,,BreastLowRisk,CPG
CCDC40,,BreastLowRisk,CPG
CCDC91,,BreastLowRisk,CPG
CCND1,,BreastLowRisk,CPG
CCNE1,,BreastLowRisk,CPG
CD151,,BreastLowRisk,CPG
CDK12,ColonLowRisk,BreastLowRisk,CPG
CDKAL1,,BreastLowRisk,CPG
CDYL2,,BreastLowRisk,CPG
CFL1,,BreastLowRisk,CPG
CFLAR,,BreastLowRisk,CPG
CHEK1,,BreastLowRisk,CPG
CLPTM1L,,BreastLowRisk,CPG
CMSS1,,BreastLowRisk,CPG
